datetime,average
2013-12-29 13:39:13,727.39
2013-12-29 13:41:11,723.58
2013-12-29 13:43:09,724.15
2013-12-29 13:45:07,726.17
2013-12-29 13:46:10,726.6
2013-12-29 13:47:15,727.45
2013-12-29 13:49:11,726.05
2013-12-29 13:51:14,726.84
2013-12-29 13:53:11,724.96
2013-12-29 13:55:10,724.67
2013-12-29 13:56:11,724.52
2013-12-29 13:58:11,724.48
2013-12-29 13:59:12,723.93
2013-12-29 14:01:10,720.41
2013-12-29 14:03:09,723.19
2013-12-29 14:04:12,722.03
2013-12-29 14:06:11,722.24
2013-12-29 14:07:13,721.28
2013-12-29 14:08:15,721.58
2013-12-29 14:10:11,720.38
2013-12-29 14:11:17,722.09
2013-12-29 14:13:12,721.42
2013-12-29 14:15:14,720.31
2013-12-29 14:17:17,717.59
2013-12-29 14:19:10,718.37
2013-12-29 14:21:10,719.62
2013-12-29 14:22:14,722.91
2013-12-29 14:24:10,723.45
2013-12-29 14:25:12,723.79
2013-12-29 14:27:11,723.45
2013-12-29 14:28:12,724.02
2013-12-29 14:30:09,723.71
2013-12-29 14:31:14,723.87
2013-12-29 14:33:14,723.04
2013-12-29 14:35:11,721.94
2013-12-29 14:37:17,721.57
2013-12-29 14:39:11,719.95
2013-12-29 14:41:11,719.3
2013-12-29 14:42:12,719.22
2013-12-29 14:43:16,722.02
2013-12-29 14:45:11,721.18
2013-12-29 14:46:14,721.22
2013-12-29 14:48:13,721.96
2013-12-29 14:50:12,721.48
2013-12-29 14:51:14,721.6
2013-12-29 14:53:16,721.6
2013-12-29 14:55:14,720.04
2013-12-29 14:56:17,722.14
2013-12-29 14:58:17,722.2
2013-12-29 14:59:18,722.26
2013-12-29 15:01:14,721.47
2013-12-29 15:02:16,721.53
2013-12-29 15:04:13,719.64
2013-12-29 15:05:15,720.15
2013-12-29 15:07:15,722.36
2013-12-29 15:09:15,722.6
2013-12-29 15:10:18,722.52
2013-12-29 15:12:14,720.77
2013-12-29 15:14:13,723.0
2013-12-29 15:15:21,723.33
2013-12-29 15:17:18,722.52
2013-12-29 15:19:15,723.0
2013-12-29 15:20:17,723.3
2013-12-29 15:22:15,723.97
2013-12-29 15:23:16,723.99
2013-12-29 15:24:19,724.04
2013-12-29 15:26:12,723.72
2013-12-29 15:27:16,724.24
2013-12-29 15:29:16,724.77
2013-12-29 15:31:15,723.45
2013-12-29 15:33:16,723.63
2013-12-29 15:35:16,726.55
2013-12-29 15:37:17,727.89
2013-12-29 15:38:27,728.94
2013-12-29 15:39:29,729.0
2013-12-29 15:41:31,728.58
2013-12-29 15:42:37,727.97
2013-12-29 15:44:39,726.25
2013-12-29 15:46:38,726.86
2013-12-29 15:48:36,728.58
2013-12-29 15:50:35,726.38
2013-12-29 15:51:36,726.01
2013-12-29 15:53:39,727.45
2013-12-29 15:55:36,724.56
2013-12-29 15:57:42,725.33
2013-12-29 15:59:37,726.47
